time_iso8601,stars_cumulative
2023-06-01 00:00:00+00:00,170
2023-06-04 00:00:00+00:00,172
2023-06-05 00:00:00+00:00,173
2023-07-13 00:00:00+00:00,174
2023-07-21 00:00:00+00:00,175
2023-07-23 00:00:00+00:00,176
2023-07-24 00:00:00+00:00,177
2023-07-27 00:00:00+00:00,178
2023-08-09 00:00:00+00:00,179
2023-08-11 00:00:00+00:00,180
2023-08-24 00:00:00+00:00,183
2023-09-02 00:00:00+00:00,184
2023-09-05 00:00:00+00:00,185
2023-09-09 00:00:00+00:00,187
2023-09-15 00:00:00+00:00,188
2023-09-29 00:00:00+00:00,189
2023-10-09 00:00:00+00:00,191
2023-10-11 00:00:00+00:00,192
2023-10-19 00:00:00+00:00,194
2023-10-22 00:00:00+00:00,195
2023-10-23 00:00:00+00:00,196
2023-10-26 00:00:00+00:00,197
2023-10-31 00:00:00+00:00,199
2023-11-10 00:00:00+00:00,200
2023-11-11 00:00:00+00:00,201
2023-11-12 00:00:00+00:00,202
2023-11-15 00:00:00+00:00,203
2023-11-18 00:00:00+00:00,204
2023-11-21 00:00:00+00:00,205
2023-11-24 00:00:00+00:00,206
2023-11-30 00:00:00+00:00,207
2023-12-06 00:00:00+00:00,208
2023-12-15 00:00:00+00:00,209
2023-12-16 00:00:00+00:00,210
2023-12-20 00:00:00+00:00,212
2023-12-24 00:00:00+00:00,213
2024-01-10 00:00:00+00:00,214
2024-01-15 00:00:00+00:00,215
2024-01-29 00:00:00+00:00,216
2024-01-30 00:00:00+00:00,217
2024-02-01 00:00:00+00:00,218
2024-02-05 00:00:00+00:00,220
2024-02-13 00:00:00+00:00,221
2024-02-14 00:00:00+00:00,222
2024-02-15 00:00:00+00:00,223
2024-02-20 00:00:00+00:00,224
2024-02-22 00:00:00+00:00,225
2024-02-27 00:00:00+00:00,226
2024-02-29 00:00:00+00:00,227
2024-03-06 00:00:00+00:00,228
2024-03-16 00:00:00+00:00,229
2024-03-19 00:00:00+00:00,231
2024-03-21 00:00:00+00:00,232
2024-03-28 00:00:00+00:00,233
2024-03-30 00:00:00+00:00,234
2024-03-31 00:00:00+00:00,235
2024-04-02 00:00:00+00:00,237
2024-04-04 00:00:00+00:00,238
2024-04-06 00:00:00+00:00,239
2024-04-08 00:00:00+00:00,240
2024-04-10 00:00:00+00:00,241
2024-04-13 00:00:00+00:00,242
2024-04-23 00:00:00+00:00,243
2024-05-07 00:00:00+00:00,245
2024-05-08 00:00:00+00:00,246
2024-05-10 00:00:00+00:00,248
2024-05-11 00:00:00+00:00,249
2024-05-16 00:00:00+00:00,250
2024-05-19 00:00:00+00:00,251
2024-05-26 00:00:00+00:00,252
2024-05-31 00:00:00+00:00,253
2024-06-01 00:00:00+00:00,254
2024-06-04 00:00:00+00:00,255
2024-06-15 00:00:00+00:00,256
2024-06-23 00:00:00+00:00,257
2024-06-25 00:00:00+00:00,258
2024-06-26 00:00:00+00:00,259
2024-07-10 00:00:00+00:00,260
2024-07-11 00:00:00+00:00,261
2024-07-12 00:00:00+00:00,262
2024-07-14 00:00:00+00:00,263
2024-07-20 00:00:00+00:00,264
2024-07-23 00:00:00+00:00,265
2024-07-29 00:00:00+00:00,266
2024-08-02 00:00:00+00:00,267
2024-08-07 00:00:00+00:00,269
2024-08-08 00:00:00+00:00,270
2024-08-26 00:00:00+00:00,271
2024-08-31 00:00:00+00:00,272
2024-09-03 00:00:00+00:00,273
2024-09-09 00:00:00+00:00,274
2024-09-14 00:00:00+00:00,275
2024-09-23 00:00:00+00:00,276
2024-09-24 00:00:00+00:00,278
2024-09-25 00:00:00+00:00,279
2024-09-28 00:00:00+00:00,280
2024-09-29 00:00:00+00:00,281
2024-10-07 00:00:00+00:00,282
2024-10-10 00:00:00+00:00,283
2024-10-11 00:00:00+00:00,284
2024-10-12 00:00:00+00:00,285
2024-10-15 00:00:00+00:00,286
2024-10-18 00:00:00+00:00,287
2024-10-22 00:00:00+00:00,288
2024-10-24 00:00:00+00:00,290
2024-10-31 00:00:00+00:00,291
2024-11-01 00:00:00+00:00,293
2024-11-05 00:00:00+00:00,294
2024-11-09 00:00:00+00:00,295
2024-11-13 00:00:00+00:00,296
2024-11-17 00:00:00+00:00,297
2024-11-21 00:00:00+00:00,299
2024-11-25 00:00:00+00:00,300
2024-11-28 00:00:00+00:00,301
2024-11-30 00:00:00+00:00,302
2024-12-08 00:00:00+00:00,303
2024-12-17 00:00:00+00:00,304
2024-12-28 00:00:00+00:00,305
2025-01-03 00:00:00+00:00,306
2025-01-11 00:00:00+00:00,307
2025-01-13 00:00:00+00:00,308
2025-01-19 00:00:00+00:00,309
2025-01-20 00:00:00+00:00,311
2025-01-26 00:00:00+00:00,312
2025-02-01 00:00:00+00:00,313
2025-02-02 00:00:00+00:00,314
2025-02-17 00:00:00+00:00,315
2025-02-25 00:00:00+00:00,316
2025-02-26 00:00:00+00:00,317
2025-02-27 00:00:00+00:00,320
2025-02-28 00:00:00+00:00,321
2025-03-04 00:00:00+00:00,322
2025-03-11 00:00:00+00:00,323
2025-03-18 00:00:00+00:00,324
2025-03-22 00:00:00+00:00,325
2025-03-26 00:00:00+00:00,328
2025-03-27 00:00:00+00:00,329
2025-03-28 00:00:00+00:00,332
2025-03-29 00:00:00+00:00,333
