time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,782,145,546,128
2026-08-28 00:00:00+00:00,838,146,297,55
2026-08-29 00:00:00+00:00,751,89,332,60
2026-08-30 00:00:00+00:00,1149,103,358,56
2026-08-31 00:00:00+00:00,751,118,348,73
2026-09-01 00:00:00+00:00,869,106,445,68
2026-09-02 00:00:00+00:00,859,119,386,56
2026-09-03 00:00:00+00:00,926,128,523,47
2026-09-04 00:00:00+00:00,1222,172,400,46
2026-09-05 00:00:00+00:00,15908,300,412,25
2026-09-06 00:00:00+00:00,1014,142,327,43
2026-09-07 00:00:00+00:00,1801,202,423,56
2026-09-08 00:00:00+00:00,770,135,337,44
2026-09-09 00:00:00+00:00,571,72,327,57
