time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,862,207,276,37
2026-04-20 00:00:00+00:00,1324,224,405,119
2026-04-21 00:00:00+00:00,3309,1526,559,49
2026-04-22 00:00:00+00:00,3166,665,1121,63
2026-04-23 00:00:00+00:00,3152,782,598,44
2026-04-24 00:00:00+00:00,2782,850,574,38
2026-04-25 00:00:00+00:00,2680,630,429,44
2026-04-26 00:00:00+00:00,2161,757,380,38
2026-04-27 00:00:00+00:00,2381,1267,468,43
2026-04-28 00:00:00+00:00,1025,283,407,47
2026-04-29 00:00:00+00:00,1329,329,213,33
2026-04-30 00:00:00+00:00,1435,557,462,54
2026-05-01 00:00:00+00:00,1366,438,553,35
2026-05-02 00:00:00+00:00,1761,485,292,25
