referrer,views_total,views_unique
github.com,534,18
Google,187,60
ssvlab.github.io,81,9
Bing,19,6
ntp.msn.com,16,2
linkedin.com,8,6
mail.google.com,8,1
DuckDuckGo,6,2
statics.teams.cdn.office.net,5,3
docs.github.com,5,2
