referrer,views_total,views_unique
github.com,571,30
Google,170,59
findaphd.com,17,10
Bing,12,5
ssvlab.github.io,12,2
com.linkedin.android,7,4
search.brave.com,6,3
linkedin.com,4,4
DuckDuckGo,3,3
p.ocmatos.com,3,1
