time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-30 00:00:00+00:00,230,50,159,25
2025-08-31 00:00:00+00:00,306,58,295,25
2025-09-01 00:00:00+00:00,538,82,329,39
2025-09-02 00:00:00+00:00,554,70,466,48
2025-09-03 00:00:00+00:00,225,48,182,37
2025-09-04 00:00:00+00:00,156,47,347,37
2025-09-05 00:00:00+00:00,425,81,394,32
2025-09-06 00:00:00+00:00,341,65,169,23
2025-09-07 00:00:00+00:00,171,48,115,12
2025-09-08 00:00:00+00:00,580,89,512,36
2025-09-09 00:00:00+00:00,295,72,598,50
2025-09-10 00:00:00+00:00,406,85,456,52
2025-09-11 00:00:00+00:00,485,110,788,50
2025-09-12 00:00:00+00:00,1013,139,673,36
