referrer,views_total,views_unique
github.com,865,33
Google,206,74
Bing,19,10
esbmc.github.io,19,9
findaphd.com,16,12
ssvlab.github.io,15,5
chatgpt.com,12,2
rustfoundation.org,8,2
DuckDuckGo,5,4
search.brave.com,4,2
