time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-08 00:00:00+00:00,45,14,62,15
2025-02-09 00:00:00+00:00,24,11,53,12
2025-02-10 00:00:00+00:00,54,17,84,20
2025-02-11 00:00:00+00:00,182,38,182,33
2025-02-12 00:00:00+00:00,177,35,209,37
2025-02-13 00:00:00+00:00,40,16,302,23
2025-02-14 00:00:00+00:00,126,25,212,28
2025-02-15 00:00:00+00:00,231,32,222,19
2025-02-16 00:00:00+00:00,383,41,215,20
2025-02-17 00:00:00+00:00,113,26,119,24
2025-02-18 00:00:00+00:00,418,66,365,38
2025-02-19 00:00:00+00:00,263,45,217,22
2025-02-20 00:00:00+00:00,188,32,259,38
2025-02-21 00:00:00+00:00,25,17,180,31
