referrer,views_total,views_unique
github.com,241,16
Google,122,49
Bing,40,11
ssvlab.github.io,35,15
search.brave.com,25,2
linkedin.com,9,8
statics.teams.cdn.office.net,7,2
mail.google.com,4,1
DuckDuckGo,3,3
paperswithcode.com,3,2
