time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-04 00:00:00+00:00,597,99,639,54
2025-11-05 00:00:00+00:00,795,115,764,59
2025-11-06 00:00:00+00:00,666,103,650,51
2025-11-07 00:00:00+00:00,652,114,428,43
2025-11-08 00:00:00+00:00,506,83,237,34
2025-11-09 00:00:00+00:00,412,68,251,38
2025-11-10 00:00:00+00:00,440,83,425,46
2025-11-11 00:00:00+00:00,704,115,632,42
2025-11-12 00:00:00+00:00,415,83,367,44
2025-11-13 00:00:00+00:00,464,98,521,61
2025-11-14 00:00:00+00:00,387,69,212,30
2025-11-15 00:00:00+00:00,367,60,187,42
2025-11-16 00:00:00+00:00,197,56,300,35
2025-11-17 00:00:00+00:00,357,80,483,36
