referrer,views_total,views_unique
github.com,237,21
Google,133,50
ssvlab.github.io,37,19
statics.teams.cdn.office.net,32,2
search.brave.com,25,2
Bing,20,8
DuckDuckGo,12,6
linkedin.com,4,3
cn.bing.com,4,3
mail.google.com,4,1
