time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-05 00:00:00+00:00,295,63,131,21
2025-10-06 00:00:00+00:00,179,51,275,45
2025-10-07 00:00:00+00:00,368,84,331,39
2025-10-08 00:00:00+00:00,747,121,442,37
2025-10-09 00:00:00+00:00,278,84,334,33
2025-10-10 00:00:00+00:00,441,92,419,50
2025-10-11 00:00:00+00:00,255,72,192,25
2025-10-12 00:00:00+00:00,120,36,140,18
2025-10-13 00:00:00+00:00,241,74,371,46
2025-10-14 00:00:00+00:00,524,103,274,46
2025-10-15 00:00:00+00:00,602,110,356,45
2025-10-16 00:00:00+00:00,431,80,431,59
2025-10-17 00:00:00+00:00,474,78,275,49
2025-10-18 00:00:00+00:00,618,76,232,24
