time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-11 00:00:00+00:00,93,27,58,16
2025-05-12 00:00:00+00:00,415,71,310,27
2025-05-13 00:00:00+00:00,653,98,393,28
2025-05-14 00:00:00+00:00,459,106,323,34
2025-05-15 00:00:00+00:00,493,84,416,33
2025-05-16 00:00:00+00:00,46,23,145,24
2025-05-17 00:00:00+00:00,152,27,79,14
2025-05-18 00:00:00+00:00,237,34,96,9
2025-05-19 00:00:00+00:00,184,49,330,38
2025-05-20 00:00:00+00:00,192,41,222,32
2025-05-21 00:00:00+00:00,348,64,383,34
2025-05-22 00:00:00+00:00,390,58,260,34
2025-05-23 00:00:00+00:00,242,49,218,32
2025-05-24 00:00:00+00:00,165,22,81,14
