time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-04 00:00:00+00:00,260,48,266,27
2025-02-05 00:00:00+00:00,263,46,203,21
2025-02-06 00:00:00+00:00,232,40,208,27
2025-02-07 00:00:00+00:00,126,34,171,26
2025-02-08 00:00:00+00:00,45,14,62,15
2025-02-09 00:00:00+00:00,24,11,53,12
2025-02-10 00:00:00+00:00,54,17,84,20
2025-02-11 00:00:00+00:00,182,38,182,33
2025-02-12 00:00:00+00:00,177,35,209,37
2025-02-13 00:00:00+00:00,40,16,302,23
2025-02-14 00:00:00+00:00,126,25,212,28
2025-02-15 00:00:00+00:00,231,32,222,19
2025-02-16 00:00:00+00:00,383,41,215,20
2025-02-17 00:00:00+00:00,104,24,119,24
