time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-10 00:00:00+00:00,440,83,425,46
2025-11-11 00:00:00+00:00,704,115,632,42
2025-11-12 00:00:00+00:00,415,83,367,44
2025-11-13 00:00:00+00:00,464,98,521,61
2025-11-14 00:00:00+00:00,387,69,212,30
2025-11-15 00:00:00+00:00,367,60,187,42
2025-11-16 00:00:00+00:00,197,56,300,35
2025-11-17 00:00:00+00:00,385,88,502,40
2025-11-18 00:00:00+00:00,223,60,369,60
2025-11-19 00:00:00+00:00,667,113,446,38
2025-11-20 00:00:00+00:00,659,120,537,64
2025-11-21 00:00:00+00:00,700,122,675,42
2025-11-22 00:00:00+00:00,272,56,266,39
2025-11-23 00:00:00+00:00,359,55,145,32
