referrer,views_total,views_unique
github.com,359,11
Google,72,27
ssvlab.github.io,20,11
rustfoundation.org,8,7
Bing,6,2
perplexity.ai,6,1
arxiv.org,5,1
linkedin.com,3,2
statics.teams.cdn.office.net,3,2
mail.google.com,3,1
