time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-07 00:00:00+00:00,147,40,154,25
2025-04-08 00:00:00+00:00,44,14,121,23
2025-04-09 00:00:00+00:00,130,33,76,31
2025-04-10 00:00:00+00:00,126,28,55,21
2025-04-11 00:00:00+00:00,102,25,165,29
2025-04-12 00:00:00+00:00,13,9,38,7
2025-04-13 00:00:00+00:00,63,11,76,7
2025-04-14 00:00:00+00:00,54,16,97,27
2025-04-15 00:00:00+00:00,78,21,92,31
2025-04-16 00:00:00+00:00,96,19,169,19
2025-04-17 00:00:00+00:00,171,35,254,27
2025-04-18 00:00:00+00:00,122,31,156,22
2025-04-19 00:00:00+00:00,82,20,77,12
2025-04-20 00:00:00+00:00,5,5,61,7
