referrer,views_total,views_unique
github.com,563,18
Google,165,50
ntp.msn.com,61,1
DuckDuckGo,44,4
linkedin.com,30,13
Bing,26,9
ssvlab.github.io,19,10
cn.bing.com,18,3
com.linkedin.android,7,3
app.codacy.com,5,1
