time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-26 00:00:00+00:00,559,112,237,35
2025-12-27 00:00:00+00:00,485,103,153,22
2025-12-28 00:00:00+00:00,807,103,205,32
2025-12-29 00:00:00+00:00,290,66,252,31
2025-12-30 00:00:00+00:00,123,36,113,19
2025-12-31 00:00:00+00:00,498,92,142,20
2026-01-01 00:00:00+00:00,238,48,92,14
2026-01-02 00:00:00+00:00,295,67,93,25
2026-01-03 00:00:00+00:00,439,98,184,27
2026-01-04 00:00:00+00:00,498,91,325,32
2026-01-05 00:00:00+00:00,460,100,324,31
2026-01-06 00:00:00+00:00,910,156,530,46
2026-01-07 00:00:00+00:00,762,106,471,43
2026-01-08 00:00:00+00:00,664,106,573,48
