referrer,views_total,views_unique
github.com,623,23
Google,209,72
ntp.msn.com,82,1
statics.teams.cdn.office.net,31,6
ssvlab.github.io,30,15
chatgpt.com,11,5
Bing,9,7
linkedin.com,6,5
mail.google.com,6,1
DuckDuckGo,4,4
