time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,1259,176,287,41
2026-09-11 00:00:00+00:00,21581,249,245,44
2026-09-12 00:00:00+00:00,1197,181,160,66
2026-09-13 00:00:00+00:00,921,179,155,57
2026-09-14 00:00:00+00:00,1805,255,345,105
2026-09-15 00:00:00+00:00,41401,360,469,99
2026-09-16 00:00:00+00:00,1963,290,358,83
2026-09-17 00:00:00+00:00,7382,245,237,88
2026-09-18 00:00:00+00:00,1079,446,279,94
2026-09-19 00:00:00+00:00,24064,189,424,131
2026-09-20 00:00:00+00:00,456,107,281,77
2026-09-21 00:00:00+00:00,923,94,256,107
2026-09-22 00:00:00+00:00,546,95,239,76
2026-09-23 00:00:00+00:00,1226,205,333,88
