time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-21 00:00:00+00:00,29,19,181,31
2025-02-22 00:00:00+00:00,35,10,123,18
2025-02-23 00:00:00+00:00,17,8,139,20
2025-02-24 00:00:00+00:00,57,13,210,37
2025-02-25 00:00:00+00:00,86,20,303,35
2025-02-26 00:00:00+00:00,176,44,282,48
2025-02-27 00:00:00+00:00,203,43,405,59
2025-02-28 00:00:00+00:00,99,26,233,47
2025-03-01 00:00:00+00:00,284,28,181,12
2025-03-02 00:00:00+00:00,249,25,181,16
2025-03-03 00:00:00+00:00,414,64,221,25
2025-03-04 00:00:00+00:00,468,134,424,48
2025-03-05 00:00:00+00:00,325,71,327,38
2025-03-06 00:00:00+00:00,254,57,258,35
