time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,105,28,195,19
2025-04-02 00:00:00+00:00,356,61,491,37
2025-04-03 00:00:00+00:00,143,33,210,42
2025-04-04 00:00:00+00:00,106,31,111,19
2025-04-05 00:00:00+00:00,26,13,71,18
2025-04-06 00:00:00+00:00,9,7,55,11
2025-04-07 00:00:00+00:00,147,40,154,25
2025-04-08 00:00:00+00:00,44,14,121,23
2025-04-09 00:00:00+00:00,130,33,76,31
2025-04-10 00:00:00+00:00,126,28,55,21
2025-04-11 00:00:00+00:00,102,25,165,29
2025-04-12 00:00:00+00:00,13,9,38,7
2025-04-13 00:00:00+00:00,63,11,76,7
2025-04-14 00:00:00+00:00,25,8,93,26
