time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-20 00:00:00+00:00,204,36,326,26
2025-06-21 00:00:00+00:00,208,23,163,7
2025-06-22 00:00:00+00:00,46,20,59,14
2025-06-23 00:00:00+00:00,102,33,65,19
2025-06-24 00:00:00+00:00,657,95,394,31
2025-06-25 00:00:00+00:00,188,33,731,32
2025-06-26 00:00:00+00:00,412,72,741,37
2025-06-27 00:00:00+00:00,699,129,572,34
2025-06-28 00:00:00+00:00,130,29,446,19
2025-06-29 00:00:00+00:00,203,45,275,22
2025-06-30 00:00:00+00:00,976,61,220,31
2025-07-01 00:00:00+00:00,521,84,595,43
2025-07-02 00:00:00+00:00,559,93,417,34
2025-07-03 00:00:00+00:00,506,94,571,36
