time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,241,74,371,46
2025-10-14 00:00:00+00:00,524,103,274,46
2025-10-15 00:00:00+00:00,602,110,356,45
2025-10-16 00:00:00+00:00,431,80,431,59
2025-10-17 00:00:00+00:00,474,78,275,49
2025-10-18 00:00:00+00:00,635,82,237,24
2025-10-19 00:00:00+00:00,533,62,192,25
2025-10-20 00:00:00+00:00,452,89,389,44
2025-10-21 00:00:00+00:00,725,122,504,61
2025-10-22 00:00:00+00:00,547,89,451,76
2025-10-23 00:00:00+00:00,542,90,550,35
2025-10-24 00:00:00+00:00,738,109,625,36
2025-10-25 00:00:00+00:00,647,93,199,30
2025-10-26 00:00:00+00:00,356,79,70,22
