time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-20 00:00:00+00:00,621,77,292,27
2025-08-21 00:00:00+00:00,648,107,365,22
2025-08-22 00:00:00+00:00,507,66,301,28
2025-08-23 00:00:00+00:00,480,60,301,13
2025-08-24 00:00:00+00:00,362,61,101,14
2025-08-25 00:00:00+00:00,667,82,408,28
2025-08-26 00:00:00+00:00,179,38,541,46
2025-08-27 00:00:00+00:00,646,82,436,34
2025-08-28 00:00:00+00:00,772,89,561,37
2025-08-29 00:00:00+00:00,335,53,336,31
2025-08-30 00:00:00+00:00,230,50,159,25
2025-08-31 00:00:00+00:00,306,58,295,25
2025-09-01 00:00:00+00:00,538,82,329,39
2025-09-02 00:00:00+00:00,518,65,466,48
