referrer,views_total,views_unique
github.com,749,37
Google,175,88
ssvlab.github.io,44,7
esbmc.github.io,36,14
findaphd.com,29,18
Bing,15,8
sosy-lab.org,8,2
claude.ai,7,1
famaf.aulavirtual.unc.edu.ar,5,3
DuckDuckGo,4,3
