time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-12 00:00:00+00:00,12.0,5.0,38,11
2025-01-13 00:00:00+00:00,119.0,15.0,232,34
2025-01-14 00:00:00+00:00,62.0,7.0,152,28
2025-01-15 00:00:00+00:00,14.0,5.0,107,21
2025-01-16 00:00:00+00:00,48.0,6.0,224,33
2025-01-17 00:00:00+00:00,13.0,7.0,234,39
2025-01-18 00:00:00+00:00,4.0,3.0,80,20
2025-01-19 00:00:00+00:00,14.0,5.0,65,23
2025-01-20 00:00:00+00:00,77.0,14.0,264,27
2025-01-21 00:00:00+00:00,34.0,6.0,170,23
2025-01-22 00:00:00+00:00,103.0,13.0,178,23
2025-01-23 00:00:00+00:00,59.0,8.0,389,19
2025-01-24 00:00:00+00:00,43.0,6.0,147,15
2025-01-25 00:00:00+00:00,,,40,5
