time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-12 00:00:00+00:00,13,9,38,7
2025-04-13 00:00:00+00:00,63,11,76,7
2025-04-14 00:00:00+00:00,54,16,97,27
2025-04-15 00:00:00+00:00,78,21,92,31
2025-04-16 00:00:00+00:00,96,19,169,19
2025-04-17 00:00:00+00:00,171,35,254,27
2025-04-18 00:00:00+00:00,122,31,156,22
2025-04-19 00:00:00+00:00,82,20,77,12
2025-04-20 00:00:00+00:00,13,9,61,7
2025-04-21 00:00:00+00:00,128,28,289,28
2025-04-22 00:00:00+00:00,169,44,338,32
2025-04-23 00:00:00+00:00,315,68,350,27
2025-04-24 00:00:00+00:00,122,31,194,33
2025-04-25 00:00:00+00:00,64,16,109,25
