time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,1061,204,823,68
2026-04-03 00:00:00+00:00,804,175,427,45
2026-04-04 00:00:00+00:00,674,141,660,57
2026-04-05 00:00:00+00:00,551,120,490,37
2026-04-06 00:00:00+00:00,943,174,724,68
2026-04-07 00:00:00+00:00,878,172,548,57
2026-04-08 00:00:00+00:00,1508,269,773,58
2026-04-09 00:00:00+00:00,826,178,599,50
2026-04-10 00:00:00+00:00,1467,208,502,45
2026-04-11 00:00:00+00:00,1466,206,424,47
2026-04-12 00:00:00+00:00,597,135,276,41
2026-04-13 00:00:00+00:00,1173,294,344,43
2026-04-14 00:00:00+00:00,1200,229,541,60
2026-04-15 00:00:00+00:00,2079,285,663,58
