referrer,views_total,views_unique
github.com,417,23
Google,206,86
ssvlab.github.io,88,30
ntp.msn.com,79,1
Bing,24,10
statics.teams.cdn.office.net,16,4
chatgpt.com,11,4
DuckDuckGo,6,3
openx.huawei.com,6,1
linkedin.com,5,5
