referrer,views_total,views_unique
github.com,294,51
Google,215,90
Bing,22,9
DuckDuckGo,18,7
chatgpt.com,9,6
github-com.btglss.net,8,8
esbmc.github.io,5,4
claude.ai,5,2
ssvlab.github.io,4,3
teams.public.onecdn.static.microsoft,4,3
