time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-17 00:00:00+00:00,249,46,343,30
2025-06-18 00:00:00+00:00,312,60,225,17
2025-06-19 00:00:00+00:00,389,50,380,27
2025-06-20 00:00:00+00:00,204,36,326,26
2025-06-21 00:00:00+00:00,208,23,163,7
2025-06-22 00:00:00+00:00,46,20,59,14
2025-06-23 00:00:00+00:00,102,33,65,19
2025-06-24 00:00:00+00:00,657,95,394,31
2025-06-25 00:00:00+00:00,188,33,731,32
2025-06-26 00:00:00+00:00,412,72,741,37
2025-06-27 00:00:00+00:00,699,129,572,34
2025-06-28 00:00:00+00:00,130,29,446,19
2025-06-29 00:00:00+00:00,203,45,275,22
2025-06-30 00:00:00+00:00,965,59,216,30
