referrer,views_total,views_unique
github.com,635,20
Google,177,75
ssvlab.github.io,45,14
ntp.msn.com,44,1
rustfoundation.org,21,15
linkedin.com,17,5
slashdot.org,12,7
Bing,11,4
cn.bing.com,10,3
DuckDuckGo,9,7
