referrer,views_total,views_unique
github.com,748,19
Google,189,54
ssvlab.github.io,83,11
ntp.msn.com,28,1
Bing,26,7
DuckDuckGo,18,2
mail.google.com,8,1
chatgpt.com,7,4
linkedin.com,7,3
perplexity.ai,4,1
