time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-27 00:00:00+00:00,20,9,111,24
2025-04-28 00:00:00+00:00,10,8,218,47
2025-04-29 00:00:00+00:00,105,41,317,39
2025-04-30 00:00:00+00:00,75,24,256,44
2025-05-01 00:00:00+00:00,352,76,475,42
2025-05-02 00:00:00+00:00,219,43,460,47
2025-05-03 00:00:00+00:00,59,15,179,32
2025-05-04 00:00:00+00:00,390,40,205,21
2025-05-05 00:00:00+00:00,321,60,232,34
2025-05-06 00:00:00+00:00,213,54,213,48
2025-05-07 00:00:00+00:00,217,45,134,25
2025-05-08 00:00:00+00:00,369,57,279,33
2025-05-09 00:00:00+00:00,282,46,143,21
2025-05-10 00:00:00+00:00,77,22,86,13
