time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-15 00:00:00+00:00,259,40,286,31
2025-08-16 00:00:00+00:00,313,51,168,16
2025-08-17 00:00:00+00:00,189,43,179,14
2025-08-18 00:00:00+00:00,662,90,491,26
2025-08-19 00:00:00+00:00,656,102,187,26
2025-08-20 00:00:00+00:00,621,77,71,11
2025-08-21 00:00:00+00:00,648,107,329,22
2025-08-22 00:00:00+00:00,507,66,301,28
2025-08-23 00:00:00+00:00,480,60,301,13
2025-08-24 00:00:00+00:00,362,61,101,14
2025-08-25 00:00:00+00:00,667,82,408,28
2025-08-26 00:00:00+00:00,179,38,541,46
2025-08-27 00:00:00+00:00,646,82,436,34
2025-08-28 00:00:00+00:00,773,88,571,34
