time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-27 00:00:00+00:00,453,49,189,24
2025-05-28 00:00:00+00:00,590,61,412,31
2025-05-29 00:00:00+00:00,688,60,418,26
2025-05-30 00:00:00+00:00,333,50,287,32
2025-05-31 00:00:00+00:00,781,41,344,21
2025-06-01 00:00:00+00:00,472,36,244,19
2025-06-02 00:00:00+00:00,725,54,426,36
2025-06-03 00:00:00+00:00,191,38,298,38
2025-06-04 00:00:00+00:00,715,61,207,22
2025-06-05 00:00:00+00:00,328,48,178,25
2025-06-06 00:00:00+00:00,294,38,157,22
2025-06-07 00:00:00+00:00,171,28,91,12
2025-06-08 00:00:00+00:00,299,33,174,7
2025-06-09 00:00:00+00:00,156,26,209,26
