referrer,views_total,views_unique
github.com,678,14
Google,227,60
ntp.msn.com,130,1
statics.teams.cdn.office.net,25,3
ssvlab.github.io,19,11
Bing,17,10
chatgpt.com,15,7
linkedin.com,9,7
com.google.android.gm,2,2
cn.bing.com,2,2
