referrer,views_total,views_unique
github.com,471,24
Google,304,109
ssvlab.github.io,146,49
ntp.msn.com,94,2
Bing,22,7
statics.teams.cdn.office.net,21,2
2024.ecoop.org,11,1
chatgpt.com,8,4
search.brave.com,8,2
linkedin.com,6,4
