time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-18 00:00:00+00:00,671,126,249,31
2025-09-19 00:00:00+00:00,563,114,252,27
2025-09-20 00:00:00+00:00,627,145,365,25
2025-09-21 00:00:00+00:00,95,32,104,20
2025-09-22 00:00:00+00:00,470,96,313,29
2025-09-23 00:00:00+00:00,237,65,221,37
2025-09-24 00:00:00+00:00,455,88,276,32
2025-09-25 00:00:00+00:00,332,88,288,36
2025-09-26 00:00:00+00:00,678,96,292,35
2025-09-27 00:00:00+00:00,325,51,165,19
2025-09-28 00:00:00+00:00,412,45,160,25
2025-09-29 00:00:00+00:00,460,91,348,23
2025-09-30 00:00:00+00:00,678,133,519,35
2025-10-01 00:00:00+00:00,331,81,371,41
